2025-11-24 18:27:56 | ERROR    | YahooRSI | Authentication error: SchwabDataFetcher.fetch_data() missing 3 required positional arguments: 'SYMBOL', 'PERIOD', and 'INTERVAL'
2025-11-24 21:39:35 | ERROR    | YahooRSI | FATAL ERROR during log_data_dump preparation: 'Close'
2025-11-24 21:54:38 | ERROR    | YahooRSI | FATAL ERROR during datetime conversion: 'datetime'
2025-11-24 21:57:49 | ERROR    | YahooRSI | FATAL ERROR during datetime conversion: 'datetime'
2025-11-24 22:43:16 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:44:38 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:46:34 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:47:20 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'index_label'
2025-11-24 22:49:45 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'df_new_data'
2025-11-24 22:50:06 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'df_new_data'
2025-11-24 22:52:26 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:53:32 | ERROR    | YahooRSI | {"timestamp": "2025-11-24T22:53:32.486119", "type": "ERROR", "error_type": "DATA_FETCH_ERROR", "message": "No data returned for /NQ", "context": {"symbol": "/NQ", "period": 0, "interval": "1m"}}
2025-11-24 22:54:18 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:55:20 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:56:14 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:57:10 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'index_label'
2025-11-24 23:12:45 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() takes from 2 to 3 positional arguments but 4 were given
2025-11-24 23:14:07 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 23:22:13 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-25 00:17:12 | ERROR    | YahooRSI | Authentication error: 'list' object has no attribute 'empty'
2025-11-25 00:18:47 | ERROR    | YahooRSI | Authentication error: 'list' object has no attribute 'empty'
2025-11-25 00:19:06 | ERROR    | YahooRSI | Authentication error: name 'df' is not defined
2025-11-25 00:19:41 | ERROR    | YahooRSI | Authentication error: name 'df' is not defined
